epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.8264,3.32272,0.30222,0.62816,2.8864,9.74E-05,9.74E-05,9.74E-05
2,36.0511,2.45741,0.64241,0.91614,1.42621,0.000193508,0.000193508,0.000193508
3,51.8888,1.5462,0.75158,0.94146,0.92928,0.000287633,0.000287633,0.000287633
4,67.5108,1.18433,0.78639,0.93987,0.78143,0.000285268,0.000285268,0.000285268
5,83.6226,1.01141,0.81171,0.94937,0.69526,0.000282358,0.000282358,0.000282358
6,99.8105,0.88012,0.83228,0.94937,0.66156,0.000279447,0.000279447,0.000279447
7,116.979,0.79292,0.8307,0.95728,0.60315,0.000276536,0.000276536,0.000276536
8,133.722,0.71761,0.84019,0.95253,0.60273,0.000273626,0.000273626,0.000273626
9,149.405,0.69566,0.84019,0.95411,0.59526,0.000270715,0.000270715,0.000270715
10,165.179,0.62826,0.8307,0.95728,0.58512,0.000267805,0.000267805,0.000267805
11,181.021,0.56423,0.83228,0.95411,0.57266,0.000264894,0.000264894,0.000264894
12,197.161,0.54272,0.8307,0.96044,0.59462,0.000261983,0.000261983,0.000261983
13,213.888,0.537,0.83544,0.96044,0.55939,0.000259073,0.000259073,0.000259073
14,231.249,0.48097,0.84652,0.96361,0.57019,0.000256162,0.000256162,0.000256162
15,248.285,0.45648,0.83703,0.96361,0.55353,0.000253252,0.000253252,0.000253252
16,263.868,0.41478,0.84177,0.95886,0.54755,0.000250341,0.000250341,0.000250341
17,280.061,0.40994,0.85759,0.96044,0.56578,0.00024743,0.00024743,0.00024743
18,296.47,0.38401,0.84652,0.95886,0.56035,0.00024452,0.00024452,0.00024452
19,312.837,0.35624,0.83861,0.96203,0.57048,0.000241609,0.000241609,0.000241609
20,330.44,0.36338,0.84494,0.96203,0.53302,0.000238699,0.000238699,0.000238699
21,348.551,0.3196,0.8481,0.96361,0.52053,0.000235788,0.000235788,0.000235788
22,366.973,0.31531,0.85443,0.96361,0.53568,0.000232877,0.000232877,0.000232877
23,384.067,0.31816,0.83544,0.96519,0.56434,0.000229967,0.000229967,0.000229967
24,399.637,0.29737,0.82911,0.96677,0.60296,0.000227056,0.000227056,0.000227056
25,415.581,0.2683,0.83703,0.96361,0.60061,0.000224146,0.000224146,0.000224146
26,432.549,0.30299,0.85285,0.96677,0.56248,0.000221235,0.000221235,0.000221235
27,448.314,0.27244,0.84177,0.95886,0.60649,0.000218324,0.000218324,0.000218324
28,464.572,0.27476,0.84968,0.96835,0.55844,0.000215414,0.000215414,0.000215414
29,480.307,0.2622,0.84968,0.9731,0.53467,0.000212503,0.000212503,0.000212503
30,496.169,0.25862,0.84177,0.96994,0.57444,0.000209593,0.000209593,0.000209593
31,512.385,0.23867,0.85759,0.97152,0.56238,0.000206682,0.000206682,0.000206682
32,528.875,0.23102,0.84177,0.96835,0.58573,0.000203771,0.000203771,0.000203771
33,546.047,0.24007,0.85601,0.9731,0.54952,0.000200861,0.000200861,0.000200861
34,564.428,0.21081,0.84177,0.96677,0.54229,0.00019795,0.00019795,0.00019795
35,585.867,0.19295,0.84968,0.96994,0.54603,0.00019504,0.00019504,0.00019504
36,610.337,0.18583,0.85443,0.96361,0.58267,0.000192129,0.000192129,0.000192129
37,634.723,0.18071,0.84335,0.96835,0.55052,0.000189218,0.000189218,0.000189218
38,658.845,0.22015,0.86234,0.96361,0.57525,0.000186308,0.000186308,0.000186308
39,684.19,0.17865,0.85127,0.96361,0.55498,0.000183397,0.000183397,0.000183397
40,709.29,0.19528,0.84177,0.97943,0.5781,0.000180487,0.000180487,0.000180487
41,735.299,0.17455,0.84652,0.96994,0.59126,0.000177576,0.000177576,0.000177576
